           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -2.34614535485e-01  -6.87026219237e-02   1.65911913561e-01
   1.00000000000e-01  -2.34614535485e-01  -1.94608045097e-01   4.00064903873e-02
   1.00000000000e-02  -2.34614535485e-01  -2.30014252969e-01   4.60028251589e-03
   1.00000000000e-03  -2.34614535485e-01  -2.34147610776e-01   4.66924708322e-04
   1.00000000000e-04  -2.34614535485e-01  -2.34567767789e-01   4.67676953211e-05
   1.00000000000e-05  -2.34614535485e-01  -2.34609849695e-01   4.68578986085e-06
   1.00000000000e-06  -2.34614535485e-01  -2.34614075237e-01   4.60247722406e-07
   1.00000000000e-07  -2.34614535485e-01  -2.34610183919e-01   4.35156554593e-06
   1.00000000000e-08  -2.34614535485e-01  -2.34568119095e-01   4.64163893923e-05
   1.00000000000e-09  -2.34614535485e-01  -2.34244318387e-01   3.70217097861e-04
   1.00000000000e-10  -2.34614535485e-01  -2.28965596483e-01   5.64893900189e-03
   1.00000000000e-11  -2.34614535485e-01  -2.21316021065e-01   1.32985144194e-02
   1.00000000000e-12  -2.34614535485e-01   2.29483099190e-01   4.64097634675e-01
