           Step size       norm(Jac*vec)     norm(FD approx)     norm(abs error)
           ---------       -------------     ---------------     ---------------
   1.00000000000e+00   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
   1.00000000000e-01   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
   1.00000000000e-02   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
   1.00000000000e-03   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
   1.00000000000e-04   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
   1.00000000000e-05   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
   1.00000000000e-06   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
   1.00000000000e-07   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
   1.00000000000e-08   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
   1.00000000000e-09   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
   1.00000000000e-10   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
   1.00000000000e-11   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
   1.00000000000e-12   0.00000000000e+00   0.00000000000e+00   0.00000000000e+00
