           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   2.54355275020e+00   2.89754579032e+00   3.53993040119e-01
   1.00000000000e-01   2.54355275020e+00   2.58042655286e+00   3.68738026536e-02
   1.00000000000e-02   2.54355275020e+00   2.54724584369e+00   3.69309348836e-03
   1.00000000000e-03   2.54355275020e+00   2.54392219477e+00   3.69444571033e-04
   1.00000000000e-04   2.54355275020e+00   2.54359139603e+00   3.86458297452e-05
   1.00000000000e-05   2.54355275020e+00   2.54355444440e+00   1.69419688056e-06
   1.00000000000e-06   2.54355275020e+00   2.54337362549e+00   1.79124718516e-04
   1.00000000000e-07   2.54355275020e+00   2.54416704593e+00   6.14295721943e-04
   1.00000000000e-08   2.54355275020e+00   2.53472762779e+00   8.82512241408e-03
   1.00000000000e-09   2.54355275020e+00   2.37878339249e+00   1.64769357717e-01
   1.00000000000e-10   2.54355275020e+00   7.31404270482e+00   4.77048995462e+00
   1.00000000000e-11   2.54355275020e+00   3.19005266647e+01   2.93569739145e+01
