           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -3.67147304525e-03  -4.37321787284e-04   3.23415125796e-03
   1.00000000000e-01  -3.67147304525e-03  -3.30797481950e-03   3.63498225746e-04
   1.00000000000e-02  -3.67147304525e-03  -3.63453677368e-03   3.69362715666e-05
   1.00000000000e-03  -3.67147304525e-03  -3.66777377259e-03   3.69927266006e-06
   1.00000000000e-04  -3.67147304525e-03  -3.67109987257e-03   3.73172681283e-07
   1.00000000000e-05  -3.67147304525e-03  -3.67140251395e-03   7.05312971083e-08
   1.00000000000e-06  -3.67147304525e-03  -3.67132529933e-03   1.47745920692e-07
   1.00000000000e-07  -3.67147304525e-03  -3.66929646389e-03   2.17658135368e-06
   1.00000000000e-08  -3.67147304525e-03  -3.65311253470e-03   1.83605105505e-05
   1.00000000000e-09  -3.67147304525e-03  -3.31522309605e-03   3.56249949201e-04
   1.00000000000e-10  -3.67147304525e-03   8.56259507742e-05   3.75709899602e-03
   1.00000000000e-11  -3.67147304525e-03   3.19091975065e-02   3.55806705518e-02
