           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   2.37943879273e-02   1.28050821185e-02   1.09893058089e-02
   1.00000000000e-01   2.37943879273e-02   2.32173124266e-02   5.77075500766e-04
   1.00000000000e-02   2.37943879273e-02   2.37381304983e-02   5.62574290408e-05
   1.00000000000e-03   2.37943879273e-02   2.37887706812e-02   5.61724612712e-06
   1.00000000000e-04   2.37943879273e-02   2.37938132364e-02   5.74690975908e-07
   1.00000000000e-05   2.37943879273e-02   2.37939341230e-02   4.53804341875e-07
   1.00000000000e-06   2.37943879273e-02   2.37922755941e-02   2.11233321167e-06
   1.00000000000e-07   2.37943879273e-02   2.37415842541e-02   5.28036732261e-05
   1.00000000000e-08   2.37943879273e-02   2.37618591470e-02   3.25287803504e-05
   1.00000000000e-09   2.37943879273e-02   1.78270731510e-02   5.96731477633e-03
   1.00000000000e-10   2.37943879273e-02  -2.49344989101e-02   4.87288868374e-02
   1.00000000000e-11   2.37943879273e-02  -4.02855526715e-01   4.26649914643e-01
