           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   1.85130048552e+05   4.20773562111e+05   2.35643513559e+05
   1.00000000000e-01   1.85130048552e+05   1.89979194844e+05   4.84914629209e+03
   1.00000000000e-02   1.85130048552e+05   1.85489505716e+05   3.59457163954e+02
   1.00000000000e-03   1.85130048552e+05   1.85164809614e+05   3.47610619837e+01
   1.00000000000e-04   1.85130048552e+05   1.85133512863e+05   3.46431098747e+00
   1.00000000000e-05   1.85130048552e+05   1.85130394716e+05   3.46163845214e-01
   1.00000000000e-06   1.85130048552e+05   1.85130081838e+05   3.32860262715e-02
   1.00000000000e-07   1.85130048552e+05   1.85130033642e+05   1.49099169648e-02
   1.00000000000e-08   1.85130048552e+05   1.85129884630e+05   1.63921528903e-01
   1.00000000000e-09   1.85130048552e+05   1.85128534213e+05   1.51433926212e+00
   1.00000000000e-10   1.85130048552e+05   1.85112003237e+05   1.80453149615e+01
   1.00000000000e-11   1.85130048552e+05   1.84983946383e+05   1.46102168971e+02
