           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -3.67028839370e-02  -3.43940598328e-02   2.30882410416e-03
   1.00000000000e-01  -3.67028839370e-02  -3.64699581726e-02   2.32925764434e-04
   1.00000000000e-02  -3.67028839370e-02  -3.66795701643e-02   2.33137726964e-05
   1.00000000000e-03  -3.67028839370e-02  -3.67005507496e-02   2.33318742730e-06
   1.00000000000e-04  -3.67028839370e-02  -3.67026285275e-02   2.55409477602e-07
   1.00000000000e-05  -3.67028839370e-02  -3.67027053194e-02   1.78617571435e-07
   1.00000000000e-06  -3.67028839370e-02  -3.67005794644e-02   2.30447261899e-06
   1.00000000000e-07  -3.67028839370e-02  -3.67093644371e-02   6.48050013027e-06
   1.00000000000e-08  -3.67028839370e-02  -3.65075969455e-02   1.95286991473e-04
   1.00000000000e-09  -3.67028839370e-02  -3.52748941168e-02   1.42798982017e-03
   1.00000000000e-10  -3.67028839370e-02  -1.94244620388e-02   1.72784218981e-02
   1.00000000000e-11  -3.67028839370e-02   1.14397380457e-01   1.51100264394e-01
