           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   2.05591719908e-04   9.39323271301e-04   7.33731551393e-04
   1.00000000000e-01   2.05591719908e-04   2.75608191651e-04   7.00164717433e-05
   1.00000000000e-02   2.05591719908e-04   2.12645224287e-04   7.05350437974e-06
   1.00000000000e-03   2.05591719908e-04   2.06353992374e-04   7.62272466715e-07
   1.00000000000e-04   2.05591719908e-04   2.05724889069e-04   1.33169160807e-07
   1.00000000000e-05   2.05591719908e-04   2.05661979981e-04   7.02600731457e-08
   1.00000000000e-06   2.05591719908e-04   2.05655700802e-04   6.39808945797e-08
   1.00000000000e-07   2.05591719908e-04   2.05655163038e-04   6.34431303021e-08
   1.00000000000e-08   2.05591719908e-04   2.05656151830e-04   6.44319226835e-08
   1.00000000000e-09   2.05591719908e-04   2.05667080588e-04   7.53606805821e-08
   1.00000000000e-10   2.05591719908e-04   2.05755551486e-04   1.63831577857e-07
   1.00000000000e-11   2.05591719908e-04   2.06779038336e-04   1.18731842868e-06
