           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -1.20832489715e-01  -1.11511086375e-01   9.32140333953e-03
   1.00000000000e-01  -1.20832489715e-01  -1.19830166011e-01   1.00232370379e-03
   1.00000000000e-02  -1.20832489715e-01  -1.20732450823e-01   1.00038891469e-04
   1.00000000000e-03  -1.20832489715e-01  -1.20822506199e-01   9.98351583439e-06
   1.00000000000e-04  -1.20832489715e-01  -1.20831489623e-01   1.00009171869e-06
   1.00000000000e-05  -1.20832489715e-01  -1.20832389727e-01   9.99872832724e-08
   1.00000000000e-06  -1.20832489715e-01  -1.20832479245e-01   1.04700007830e-08
   1.00000000000e-07  -1.20832489715e-01  -1.20832490680e-01   9.65296370614e-10
   1.00000000000e-08  -1.20832489715e-01  -1.20832577277e-01   8.75626922914e-08
   1.00000000000e-09  -1.20832489715e-01  -1.20832344130e-01   1.45584142894e-07
   1.00000000000e-10  -1.20832489715e-01  -1.20844445561e-01   1.19558468255e-05
   1.00000000000e-11  -1.20832489715e-01  -1.20914389612e-01   8.18998973769e-05
