           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   1.18541033281e-03   8.18591668920e-02   8.06737565591e-02
   1.00000000000e-01   1.18541033281e-03   1.52498597207e-02   1.40644493879e-02
   1.00000000000e-02   1.18541033281e-03   2.58357806238e-03   1.39816772956e-03
   1.00000000000e-03   1.18541033281e-03   1.32507540895e-03   1.39665076139e-04
   1.00000000000e-04   1.18541033281e-03   1.19933776022e-03   1.39274274014e-05
   1.00000000000e-05   1.18541033281e-03   1.18755270062e-03   2.14236780655e-06
   1.00000000000e-06   1.18541033281e-03   1.17967036140e-03   5.73997141922e-06
   1.00000000000e-07   1.18541033281e-03   1.13916209799e-03   4.62482348295e-05
   1.00000000000e-08   1.18541033281e-03   6.64912569448e-04   5.20497763367e-04
   1.00000000000e-09   1.18541033281e-03  -4.93138863078e-03   6.11679896359e-03
   1.00000000000e-10   1.18541033281e-03  -2.81552559045e-02   2.93406662373e-02
   1.00000000000e-11   1.18541033281e-03  -4.92705876098e-01   4.93891286431e-01
