           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   1.07716642201e-03  -3.18364712060e-04   1.39553113407e-03
   1.00000000000e-01   1.07716642201e-03   6.76577322802e-03   5.68860680601e-03
   1.00000000000e-02   1.07716642201e-03   1.64632274346e-03   5.69156321453e-04
   1.00000000000e-03   1.07716642201e-03   1.13400110480e-03   5.68346827849e-05
   1.00000000000e-04   1.07716642201e-03   1.08285267419e-03   5.68625218281e-06
   1.00000000000e-05   1.07716642201e-03   1.07754853929e-03   3.82117273740e-07
   1.00000000000e-06   1.07716642201e-03   1.07522746262e-03   1.93895939046e-06
   1.00000000000e-07   1.07716642201e-03   1.08731468274e-03   1.01482607232e-05
   1.00000000000e-08   1.07716642201e-03   6.04161165541e-04   4.73005256471e-04
   1.00000000000e-09   1.07716642201e-03   3.13082892944e-03   2.05366250743e-03
   1.00000000000e-10   1.07716642201e-03  -1.89148696705e-02   1.99920360926e-02
   1.00000000000e-11   1.07716642201e-03  -1.54709578482e-01   1.55786744904e-01
