           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00  -2.27333159047e+07  -1.48379138338e+07   7.89540207087e+06
   1.00000000000e-01  -2.27333159047e+07  -2.18332301142e+07   9.00085790502e+05
   1.00000000000e-02  -2.27333159047e+07  -2.26421657041e+07   9.11502006068e+04
   1.00000000000e-03  -2.27333159047e+07  -2.27241894400e+07   9.12646464588e+03
   1.00000000000e-04  -2.27333159047e+07  -2.27324031442e+07   9.12760417484e+02
   1.00000000000e-05  -2.27333159047e+07  -2.27332245987e+07   9.13059669957e+01
   1.00000000000e-06  -2.27333159047e+07  -2.27333065905e+07   9.31419017538e+00
   1.00000000000e-07  -2.27333159047e+07  -2.27333144099e+07   1.49480583891e+00
   1.00000000000e-08  -2.27333159047e+07  -2.27333188057e+07   2.90103671327e+00
