           Step size           grad'*dir           FD approx           abs error
           ---------           ---------           ---------           ---------
   1.00000000000e+00   2.75680689038e-05   1.42267255034e-05   1.33413434004e-05
   1.00000000000e-01   2.75680689038e-05   2.61784822960e-05   1.38958660776e-06
   1.00000000000e-02   2.75680689038e-05   2.74490804388e-05   1.18988464948e-07
   1.00000000000e-03   2.75680689038e-05   2.75561842129e-05   1.18846908342e-08
   1.00000000000e-04   2.75680689038e-05   2.75668804797e-05   1.18842404527e-09
   1.00000000000e-05   2.75680689038e-05   2.75679437611e-05   1.25142637904e-10
   1.00000000000e-06   2.75680689038e-05   2.75679999662e-05   6.89375972824e-11
   1.00000000000e-07   2.75680689038e-05   2.75677397577e-05   3.29146118682e-10
   1.00000000000e-08   2.75680689038e-05   2.75633682545e-05   4.70064927814e-09
   1.00000000000e-09   2.75680689038e-05   2.75474087985e-05   2.06601052571e-08
   1.00000000000e-10   2.75680689038e-05   2.67841304691e-05   7.83938434687e-07
   1.00000000000e-11   2.75680689038e-05   2.77555756156e-05   1.87506711860e-07
